Build started 2021/12/13 18:37:20.
     1>Project "C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail\NativePluginPS4Example.vcxproj" on node 2 (Build target(s)).
     1>ClCompile:
         prx.cpp
         orbis-clang.exe -o ORBIS_Debug\prx.o -c -MD -MV -fdiagnostics-format=msvc -IC:\tauon2\include -I"C:\Program Files (x86)\SCE\ORBIS SDKs\4.500\host_tools\lib\clang\include" -I"C:\Program Files (x86)\SCE\ORBIS SDKs\4.500\target\include" -I"C:\Program Files (x86)\SCE\ORBIS SDKs\4.500\target\include_common" -D_DEBUG -g -Wall -fno-caret-diagnostics -O0 -fexceptions "C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail\prx.cpp"
     1>orbis-clang.exe : warning : implicitly enabling rtti for exception handling
         In file included from C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail\prx.cpp:9:
     1>C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail/Patcher.h(37,9): warning : 'PROT_READ' macro redefined [-Wmacro-redefined]
         C:\Program Files (x86)\SCE\ORBIS SDKs\4.500\target\include\sys/mman.h(61,9):  note: previous definition is here
         In file included from C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail\prx.cpp:9:
     1>C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail/Patcher.h(38,9): warning : 'PROT_WRITE' macro redefined [-Wmacro-redefined]
         C:\Program Files (x86)\SCE\ORBIS SDKs\4.500\target\include\sys/mman.h(62,9):  note: previous definition is here
         In file included from C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail\prx.cpp:9:
     1>C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail/Patcher.h(39,9): warning : 'PROT_EXEC' macro redefined [-Wmacro-redefined]
         C:\Program Files (x86)\SCE\ORBIS SDKs\4.500\target\include\sys/mman.h(63,9):  note: previous definition is here
         In file included from C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail\prx.cpp:9:
     1>C:\Users\3de Echelon\Downloads\ps4_unjail\ps4_unjail/Patcher.h(40,9): warning : 'PROT_NONE' macro redefined [-Wmacro-redefined]
         C:\Program Files (x86)\SCE\ORBIS SDKs\4.500\target\include\sys/mman.h(60,9):  note: previous definition is here
